Product,Month,Total
Wﾊﾟﾝﾀﾞﾝｼﾌｫﾝｹｰｷ,5,12960
お子様セット,5,3052
お子様セット,6,1540
お子様セット,7,770
お子様セット,8,2310
お子様セット,9,1540
エビ麺,2,59000
エビ麺,3,87550
エビ麺,4,56914
エビ麺,5,32956
オレンジジュース,2,900
オレンジジュース,3,315
オレンジジュース,4,1485
オレンジジュース,5,165
オレンジジュース,6,330
オレンジジュース,7,330
オレンジジュース,8,330
オレンジジュース,9,660
オールフリー瓶,2,800
オールフリー瓶,5,880
オールフリー瓶,6,880
カシスソーダ,3,450
カレーラクサ麺,2,88800
カレーラクサ麺,3,121276
カレーラクサ麺,4,84426
カレーラクサ麺,5,75866
カレーラクサ麺,6,87048
カレーラクサ麺,7,86040
カレーラクサ麺,8,79348
カレーラクサ麺,9,80246
カールスバーグ瓶,2,800
カールスバーグ瓶,3,2520
カールスバーグ瓶,4,4400
カールスバーグ瓶,6,1320
カールスバーグ瓶,7,440
ココナッツライス,2,800
ココナッツライス,3,1260
ココナッツライス,4,220
ココナッツライス,5,440
ココナッツライス,7,220
ココナッツライス,8,220
ココナッツライス,9,440
コーヒー,2,8350
コーヒー,3,9575
コーヒー,4,10333
コーヒー,5,4895
コーヒー,6,9515
コーヒー,7,5610
コーヒー,8,3795
コーヒー,9,4455
コーラ,2,900
コーラ,3,330
コーラ,5,330
コーラ,6,1650
コーラ,7,324
コーラ,8,330
コーラ,9,330
サンバルソース,7,1920
サンバルソース,8,13920
サンバルソース,9,18240
スープパンミー,4,175200
スープパンミー,5,69260
スープパンミー,6,123340
タイガービール瓶,2,5400
タイガービール瓶,3,7200
タイガービール瓶,4,3300
タイガービール瓶,6,660
タイガービール瓶,7,660
タンブラーバッグ,2,5520
タンブラーバッグ,3,11109
タンブラーバッグ,4,1518
タンブラーバッグ,5,2277
タンブラーバッグ,6,1518
タンブラーバッグ,8,1518
ダルゴナコーヒー,2,7700
ダルゴナコーヒー,3,7525
ダルゴナコーヒー,4,8231
ダルゴナコーヒー,5,1650
ダルゴナコーヒー,6,550
ダルゴナコーヒー,7,1650
ダルゴナコーヒー,8,550
ダルゴナコーヒー,9,550
チェンドル,7,24000
チェンドル,8,15000
チェンドル,9,12750
チキンライス,2,800
チキンライス,3,1300
チキンライス,4,660
チキンライス,5,220
チキンライス,6,1320
チキンライス,7,1760
チキンライス,8,880
チキンライス,9,220
テータリック,2,30000
テータリック,3,37463
テータリック,4,30133
テータリック,5,19900
テータリック,6,27603
テータリック,7,22378
テータリック,8,19360
テータリック,9,19463
トートバッグ（ﾅｼﾚﾏｯ）,2,22350
トートバッグ（ﾅｼﾚﾏｯ）,3,9089
トートバッグ（ﾅｼﾚﾏｯ）,4,6556
トートバッグ（ﾅｼﾚﾏｯ）,8,3278
ドラゴンフルーツシャーベット,2,1400
ドラゴンフルーツシャーベット,3,1820
ドラゴンフルーツシャーベット,5,1155
ドラゴンフルーツシャーベット,6,1925
ドラゴンフルーツシャーベット,7,385
ドラゴンフルーツシャーベット,8,1925
ドラゴンフルーツシャーベット,9,1155
ナシゴレン,3,1000
ナシレマッ,2,96800
ナシレマッ,3,141280
ナシレマッ,4,121130
ナシレマッ,5,100800
ナシレマッ,6,127382
ナシレマッ,7,128832
ナシレマッ,8,108590
ナシレマッ,9,117738
ハイボールｿｰﾀﾞ割り,2,10800
ハイボールｿｰﾀﾞ割り,3,1890
ハイボールｿｰﾀﾞ割り,4,495
ビール,2,15300
ビール,3,6660
ビール,4,2970
ビール,7,990
ピサン・ゴレン,4,8470
ピサン・ゴレン,5,2310
ピサン・ゴレン,6,6160
ピサン・ゴレン,7,2310
ピサン・ゴレン,9,2310
ピーナッツのお汁粉,4,8800
ピーナッツのお汁粉,5,5600
ピーナッツのお汁粉,6,2400
ピーナッツのお汁粉,7,2000
ピーナッツのお汁粉,9,2000
フルーツ・ロジャ,4,9240
フルーツ・ロジャ,5,3850
フルーツ・ロジャ,6,4620
フルーツ・ロジャ,7,8470
フルーツ・ロジャ,8,3080
フルーツ・ロジャ,9,3080
ホワイト単品,2,13650
ホワイト単品,3,28313
ホワイト単品,4,10709
ホワイト単品,5,2555
ホワイト単品,6,3520
ホワイト単品,7,2560
ホワイト単品,8,1600
ホワイト単品,9,3520
マレーシア・マリング,2,7700
マレーシア・マリング,3,3960
マレーシア・マリング,4,3630
マレーシア・マリング,6,1815
マレーシア・マリング,7,605
マレーシア風漬物,2,350
マレーシア風漬物,3,385
マレーシア風漬物,5,385
マレーシア風漬物,7,763
マレーシア風漬物,8,385
ミニ冰皮月餅セット,8,42435
ミニ冰皮月餅セット,9,84870
ミロ,2,6450
ミロ,3,8715
ミロ,4,6160
ミロ,5,3630
ミロ,6,4455
ミロ,7,4063
ミロ,8,4950
ミロ,9,4180
ライムティー,2,15100
ライムティー,3,16760
ライムティー,4,17161
ライムティー,5,2961
ライムティー,6,2475
ライムティー,7,3960
ライムティー,8,3465
ライムティー,9,3960
レモンサワー,2,3850
レモンサワー,4,605
レモンチキンチョップ,7,141040
レモンチキンチョップ,8,82820
レモンチキンチョップ,9,106720
仙草ゼリー,2,4900
仙草ゼリー,4,1925
仙草ゼリー,5,385
仙草ゼリー,6,385
仙草ゼリー,9,1155
全粒粉単品,2,9000
全粒粉単品,3,10656
全粒粉単品,4,6912
全粒粉単品,5,1155
全粒粉単品,6,1540
全粒粉単品,7,770
全粒粉単品,8,770
全粒粉単品,9,1925
半熟卵,5,110
半熟卵,6,1045
半熟卵,7,275
半熟卵,8,440
半熟卵,9,825
南乳唐揚げ豚,2,17500
南乳唐揚げ豚,3,14840
南乳唐揚げ豚,4,6146
南乳唐揚げ豚,5,4620
南乳唐揚げ豚,6,10766
南乳唐揚げ豚,7,8456
南乳唐揚げ豚,8,5376
南乳唐揚げ豚,9,5362
参加費,4,28000
参加費,5,26000
手羽先の塩卵唐揚げ,2,10500
手羽先の塩卵唐揚げ,3,9590
手羽先の塩卵唐揚げ,4,7700
手羽先の塩卵唐揚げ,5,6132
手羽先の塩卵唐揚げ,6,5390
手羽先の塩卵唐揚げ,7,3080
手羽先の塩卵唐揚げ,8,4620
手羽先の塩卵唐揚げ,9,1540
揚げワンタン,4,17696
揚げワンタン,5,770
揚げワンタン,6,8456
揚げワンタン,7,4620
揚げワンタン,8,5376
揚げワンタン,9,4606
揚げ春巻き,2,4900
揚げ春巻き,3,7350
揚げ春巻き,4,6930
揚げ春巻き,6,4620
揚げ春巻き,7,2310
揚げ春巻き,8,770
揚げ饅頭ｶﾚｰﾁｷﾝ付,2,2800
揚げ饅頭ｶﾚｰﾁｷﾝ付,3,5880
揚げ饅頭ｶﾚｰﾁｷﾝ付,4,3080
揚げ饅頭ｶﾚｰﾁｷﾝ付,5,2310
揚げ饅頭ｶﾚｰﾁｷﾝ付,6,3850
揚げ饅頭ｶﾚｰﾁｷﾝ付,7,4606
揚げ饅頭ｶﾚｰﾁｷﾝ付,8,1540
揚げ饅頭ｶﾚｰﾁｷﾝ付,9,3080
擂茶,2,112000
擂茶,3,121120
擂茶,4,94480
擂茶,5,51700
擂茶,6,60420
擂茶,7,36940
擂茶,8,39380
擂茶,9,45260
春巻きのｼｭｰｶﾞｰｽﾅｯｸ,2,5504
春節お菓子,2,63848
替玉,2,2000
替玉,3,1300
替玉,4,880
替玉,5,1760
替玉,6,440
替玉,8,220
替玉,9,440
梅酒果実入りホット,4,440
海苔春巻き,2,8880
白グラスワイン,3,550
白グラスワイン,4,1815
紅茶,2,2100
紅茶,3,2670
紅茶,4,3740
紅茶,5,2090
紅茶,6,1045
紅茶,7,1698
紅茶,8,1375
紅茶,9,1980
紙袋,2,40
紹興酒,2,480
紹興酒,3,480
緑茶,2,1200
緑茶,3,1485
緑茶,4,825
緑茶,5,825
緑茶,6,1155
緑茶,7,1485
緑茶,8,495
肉詰め厚揚げ,2,11200
肉詰め厚揚げ,3,5880
肉詰め厚揚げ,4,7700
肉詰め厚揚げ,5,770
肉詰め厚揚げ,6,3080
肉詰め厚揚げ,7,3850
肉詰め厚揚げ,8,3080
肉詰め厚揚げ,9,1540
茹で野菜自家製ソース,2,4900
茹で野菜自家製ソース,3,2870
茹で野菜自家製ソース,4,770
茹で野菜自家製ソース,5,770
茹で野菜自家製ソース,6,770
茹で野菜自家製ソース,7,3850
茹で野菜自家製ソース,8,1540
茹で野菜自家製ソース,9,770
赤グラスワイン,2,2200
赤グラスワイン,3,1650
醤油チキンライス,2,65400
醤油チキンライス,3,66812
醤油チキンライス,4,73922
醤油チキンライス,5,72606
醤油チキンライス,6,106302
醤油チキンライス,7,61898
醤油チキンライス,8,55372
醤油チキンライス,9,43122
野菜春雨炒め,2,2100
野菜春雨炒め,3,6790
野菜春雨炒め,4,3850
野菜春雨炒め,5,770
野菜春雨炒め,6,1526
野菜春雨炒め,7,3080
野菜春雨炒め,8,2310
魚生イーサン,2,56448
黒ゴマのお汁粉,4,12000
黒ゴマのお汁粉,5,3600
黒ゴマのお汁粉,6,8400
黒ゴマのお汁粉,7,3600
黒ゴマのお汁粉,8,400
黒ゴマのお汁粉,9,4400
ｱﾝﾁｮﾋﾞ＆ﾋﾟｰﾅｯﾂ炒め,3,350
ｱﾝﾁｮﾋﾞ＆ﾋﾟｰﾅｯﾂ炒め,4,385
ｱﾝﾁｮﾋﾞ＆ﾋﾟｰﾅｯﾂ炒め,7,1155
ｱﾝﾁｮﾋﾞ＆ﾋﾟｰﾅｯﾂ炒め,9,385
ｶﾎﾞﾁｬﾉひき肉和え,2,1400
ｶﾎﾞﾁｬﾉひき肉和え,3,5320
ｶﾎﾞﾁｬﾉひき肉和え,4,770
ｶﾎﾞﾁｬﾉひき肉和え,7,2310
ｶﾎﾞﾁｬﾉひき肉和え,8,770
ｶﾎﾞﾁｬﾉひき肉和え,9,770
ｼﾝｶﾞﾎﾟｰﾙ・ｽﾘﾝｸﾞ,2,3300
ｼﾝｶﾞﾎﾟｰﾙ・ｽﾘﾝｸﾞ,3,3410
ｼﾝｶﾞﾎﾟｰﾙ・ｽﾘﾝｸﾞ,4,1210
ｼﾝｶﾞﾎﾟｰﾙ・ｽﾘﾝｸﾞ,7,605
ﾃｨﾌｨﾝﾗﾝﾁ,2,42300
ﾃｨﾌｨﾝﾗﾝﾁ,3,80730
ﾃｨﾌｨﾝﾗﾝﾁ,4,80190
ﾃｨﾌｨﾝﾗﾝﾁ,5,71280
ﾃｨﾌｨﾝﾗﾝﾁ,6,111870
ﾃｨﾌｨﾝﾗﾝﾁ,7,86130
ﾃｨﾌｨﾝﾗﾝﾁ,8,68310
ﾃｨﾌｨﾝﾗﾝﾁ,9,77220
ﾆﾝﾆｸ味茹で豚,2,1400
ﾆﾝﾆｸ味茹で豚,3,2240
ﾆﾝﾆｸ味茹で豚,4,770
ﾊﾟﾝﾀﾞﾝｼﾌｫﾝｹｰｷ,2,10000
ﾊﾟﾝﾀﾞﾝｼﾌｫﾝｹｰｷ,3,16430
ﾊﾟﾝﾀﾞﾝｼﾌｫﾝｹｰｷ,4,14800
ﾊﾟﾝﾀﾞﾝｼﾌｫﾝｹｰｷ,5,4360
ﾊﾟﾝﾀﾞﾝｼﾌｫﾝｹｰｷ,6,3300
ﾊﾟﾝﾀﾞﾝｼﾌｫﾝｹｰｷ,7,3820
ﾊﾟﾝﾀﾞﾝｼﾌｫﾝｹｰｷ,8,1650
ﾊﾟﾝﾀﾞﾝｼﾌｫﾝｹｰｷ,9,3300
