Publish Date,Publish Time,Type,Impressions,Reach,Follower,Not Follower,Shares,Follows,Likes,Comments,Saves
2021/2/1,19:59,Food,1258,1001,459,542,0,0,77,2,2
2021/2/3,19:48,Shop,1880,1704,1004,700,0,1,79,0,1
2021/2/4,19:32,Education,1295,1010,400,610,1,0,47,0,1
2021/2/5,11:08,Dessert Sweet,1748,1380,950,430,6,2,119,6,18
2021/2/6,19:30,Culture,1194,1038,716,322,0,1,62,2,1
2021/2/8,19:30,Announcement,854,730,564,116,0,0,22,0,0
2021/2/8,19:30,Food,1684,1476,613,863,0,0,69,0,3
2021/2/9,19:30,Food,1077,940,623,317,4,0,53,0,2
2021/2/10,19:54,Culture,1272,1044,752,292,2,0,73,0,3
2021/2/11,20:56,Culture,1484,1189,783,406,2,1,89,1,1
2021/2/12,11:01,Shop,2822,2538,824,1714,1,0,162,3,1
2021/2/17,19:30,Dessert Sweet,1726,1584,732,852,0,0,85,0,1
2021/2/19,19:30,Culture,2181,1928,638,1290,0,0,86,2,0
2021/2/25,20:42,Shop,4741,4324,764,3560,6,7,232,5,2
2021/2/26,23:36,Culture,2508,2258,734,1524,7,1,82,0,1
2021/2/27,17:44,Goods,4133,1709,855,855,5,2,115,2,7
2021/2/28,19:00,Announcement,1075,895,582,313,0,0,40,0,1
2021/3/5,19:31,Food,2137,1860,826,1034,4,0,167,3,18
2021/3/7,10:00,Announcement,1031,866,634,232,0,1,28,0,0
2021/3/11,19:30,Culture,1285,977,684,295,0,0,48,0,1
2021/3/15,19:31,Food,3140,2807,817,1993,0,2,103,1,4
2021/3/16,19:24,Shop,2186,1655,981,678,21,5,127,4,15
2021/3/21,12:30,Announcement,1140,893,585,308,0,1,20,0,0
2021/3/22,15:49,Shop,2081,1597,901,696,13,4,113,0,12
2021/3/23,19:30,Dessert Sweet,4562,3982,869,3113,5,7,140,3,26
2021/3/24,19:30,Food,2998,2552,700,1852,3,3,107,3,9
2021/3/26,19:30,Food,16027,14045,862,13213,22,13,360,13,141
2021/3/31,18:03,Announcement,1261,893,618,275,3,0,21,0,2
2021/4/2,19:01,Announcement,1336,1066,771,295,2,2,46,0,8
2021/4/4,19:31,Culture,1146,915,694,221,0,0,60,1,0
2021/4/8,20:18,Shop,1844,1434,971,463,4,2,196,12,6
2021/4/11,23:37,Announcement,982,811,643,168,0,0,25,0,2
2021/4/13,19:25,Culture,1272,1074,713,361,1,2,96,0,0
2021/4/14,19:27,Education,1300,1008,709,299,2,0,65,0,0
2021/4/15,14:02,Education,1278,923,649,276,1,1,49,0,3
