当年日付,前年日付,曜日,当年天気,前年天気,当年予算,当年実績,当年達成率,前年差異,前年実績,当年実績(定価),定価・実績差異,当年客数,前年客数,前年差客,当年客単,前年客単,前差客単
TOTAL,,,‐,‐,0,"665,261",0%,103%,645750,"666,107",846,480,537,89%,"1,386",1203,115%
20210201,20200203,月,‐,‐,0,0,0%,0%,0,0,0,0,0,0%,0,0,0%
20210202,20200204,火,曇り,‐,0,"9,967",0%,0%,0,"9,967",0,9,0,0%,"1,107",0,0%
20210203,20200205,水,晴れ,‐,0,"12,922",0%,0%,0,"12,922",0,12,0,0%,"1,077",0,0%
20210204,20200206,木,晴れ,‐,0,"19,122",0%,0%,0,"19,122",0,16,0,0%,"1,195",0,0%
20210205,20200207,金,晴れ,‐,0,"74,715",0%,0%,0,"75,415",700,42,0,0%,"1,779",0,0%
20210206,20200208,土,晴れ,‐,0,"46,914",0%,0%,0,"46,914",0,28,0,0%,"1,676",0,0%
20210207,20200209,日,‐,‐,0,0,0%,0%,0,0,0,0,0,0%,0,0,0%
MD6週,,,‐,‐,0,"163,640",0%,0%,0,"164,340",700,107,0,0%,"1,529",0,0%
20210208,20200210,月,曇り,‐,0,"21,708",0%,0%,0,"21,708",0,9,0,0%,"2,412",0,0%
20210209,20200211,火,晴れ,‐,0,"31,727",0%,0%,0,"31,727",0,19,0,0%,"1,670",0,0%
20210210,20200212,水,快晴,‐,0,"38,045",0%,0%,0,"38,045",0,33,0,0%,"1,153",0,0%
20210211,20200213,木,快晴,‐,0,"90,555",0%,0%,0,"90,555",0,26,0,0%,"3,483",0,0%
20210212,20200214,金,曇り,‐,0,"68,609",0%,0%,0,"68,609",0,29,0,0%,"2,366",0,0%
20210213,20200215,土,晴れ,‐,0,"130,654",0%,0%,0,"131,004",350,50,0,0%,"2,613",0,0%
20210214,20200216,日,‐,‐,0,0,0%,0%,0,0,0,0,0,0%,0,0,0%
MD7週,,,‐,‐,0,"381,298",0%,0%,0,"381,648",350,166,0,0%,"2,297",0,0%
20210215,20200217,月,‐,‐,0,0,0%,0%,0,0,0,0,0,0%,0,0,0%
20210216,20200218,火,晴れ,‐,0,"27,533",0%,0%,0,"27,533",0,25,0,0%,"1,101",0,0%
20210217,20200219,水,晴れ,‐,0,"87,489",0%,0%,0,"87,489",0,38,0,0%,"2,302",0,0%
20210218,20200220,木,晴れ,‐,0,"36,438",0%,0%,0,"36,438",0,28,0,0%,"1,301",0,0%
20210219,20200221,金,快晴,‐,0,"28,493",0%,0%,0,"28,493",0,23,0,0%,"1,239",0,0%
20210220,20200222,土,快晴,‐,0,"81,864",0%,0%,0,"82,963","1,099",35,0,0%,"2,339",0,0%
20210221,20200223,日,‐,‐,0,0,0%,0%,0,0,0,0,0,0%,0,0,0%
MD8週,,,‐,‐,0,"261,817",0%,0%,0,"262,916","1,099",149,0,0%,"1,757",0,0%
20210222,20200224,月,快晴,‐,0,"23,187",0%,0%,0,"23,517",330,18,0,0%,"1,288",0,0%
20210223,20200225,火,‐,‐,0,0,0%,0%,0,0,0,0,0,0%,0,0,0%
20210224,20200226,水,曇り,‐,0,"16,482",0%,0%,0,"16,482",0,12,0,0%,"1,374",0,0%
20210225,20200227,木,曇り,‐,0,"27,470",0%,0%,0,"27,670",200,19,0,0%,"1,446",0,0%
20210226,20200228,金,快晴,‐,0,"20,607",0%,0%,0,"20,607",0,18,0,0%,"1,145",0,0%
20210227,20200229,土,曇り,‐,0,"34,877",0%,0%,0,"34,877",0,24,0,0%,"1,453",0,0%
20210228,20200301,日,‐,‐,0,0,0%,0%,0,0,0,0,0,0%,0,0,0%
MD9週,,,‐,‐,0,"122,623",0%,0%,0,"123,153",530,91,0,0%,"1,348",0,0%
20210301,20200302,月,‐,‐,0,0,0%,0%,0,0,0,0,0,0%,0,0,0%
20210302,20200303,火,曇り,‐,0,"26,422",0%,0%,0,"26,664",242,21,0,0%,"1,258",0,0%
20210303,20200304,水,晴れ,‐,0,"26,394",0%,0%,0,"27,594","1,200",24,0,0%,"1,100",0,0%
20210304,20200305,木,曇り,‐,0,"27,931",0%,0%,0,"27,931",0,20,0,0%,"1,397",0,0%
20210305,20200306,金,曇り,‐,0,"36,446",0%,0%,0,"37,446","1,000",29,0,0%,"1,257",0,0%
20210306,20200307,土,曇り,‐,0,"53,984",0%,0%,0,"53,984",0,28,0,0%,"1,928",0,0%
20210307,20200308,日,‐,‐,0,0,0%,0%,0,0,0,0,0,0%,0,0,0%
MD10週,,,‐,‐,0,"171,177",0%,0%,0,"173,619","2,442",122,0,0%,"1,403",0,0%
20210308,20200309,月,雨,‐,0,"20,137",0%,0%,0,"20,137",0,15,0,0%,"1,342",0,0%
20210309,20200310,火,曇り,‐,0,"21,544",0%,0%,0,"21,544",0,18,0,0%,"1,197",0,0%
20210310,20200311,水,快晴,‐,0,"22,881",0%,0%,0,"25,281","2,400",16,0,0%,"1,430",0,0%
20210311,20200312,木,快晴,‐,0,"21,824",0%,0%,0,"21,824",0,19,0,0%,"1,149",0,0%
20210312,20200313,金,曇り,‐,0,"37,497",0%,0%,0,"37,497",0,32,0,0%,"1,172",0,0%
20210313,20200314,土,曇り,‐,0,"17,622",0%,0%,0,"17,622",0,13,0,0%,"1,356",0,0%
20210314,20200315,日,‐,‐,0,0,0%,0%,0,0,0,0,0,0%,0,0,0%
MD11週,,,‐,‐,0,"141,505",0%,0%,0,"143,905","2,400",113,0,0%,"1,252",0,0%
20210315,20200316,月,‐,‐,0,0,0%,0%,0,0,0,0,0,0%,0,0,0%
20210316,20200317,火,曇り,‐,0,"31,285",0%,0%,0,"31,285",0,27,0,0%,"1,159",0,0%
20210317,20200318,水,晴れ,‐,0,"28,798",0%,0%,0,"28,798",0,18,0,0%,"1,600",0,0%
20210318,20200319,木,晴れ,‐,0,"34,034",0%,0%,0,"34,034",0,30,0,0%,"1,134",0,0%
20210319,20200320,金,曇り,‐,0,"25,979",0%,0%,0,"25,979",0,18,0,0%,"1,443",0,0%
