営業日,商品コード,商品名,カテゴリ1コード,カテゴリ1,カテゴリ2コード,カテゴリ2,カテゴリ3コード,カテゴリ3,カテゴリ4コード,カテゴリ4,カテゴリ5コード,カテゴリ5,平均単価,売上数量,売上金額
2021/02/02(火),4,L)カレーラクサ麺,4,ランチメニュー,6,L)麺,,,,,,,¥900,1,¥900
2021/02/02(火),5,L)ナシレマッ,4,ランチメニュー,7,L)ご飯,,,,,,,¥900,1,¥900
2021/02/02(火),6,L)醤油チキンライス,4,ランチメニュー,7,L)ご飯,,,,,,,¥900,1,¥900
2021/02/02(火),30,コーヒー,5,ディナーメニュー,12,ドリンク,,,,,,,¥350,1,¥350
2021/02/02(火),58,TO)ナシレマッ,15,テイクアウト,7,L)ご飯,,,,,,,¥900,1,¥900
2021/02/02(火),59,TO)醤油チキンライス,15,テイクアウト,7,L)ご飯,,,,,,,¥900,1,¥900
2021/02/02(火),86,L)ﾃｨﾌｨﾝﾗﾝﾁ,4,ランチメニュー,7,L)ご飯,,,,,,,¥900,4,"¥3,600"
2021/02/02(火),94,ｾｯﾄ)テータリック,4,ランチメニュー,8,セットドリンク,,,,,,,¥150,2,¥300
2021/02/02(火),141,TO)コーヒー,15,テイクアウト,36,TO)ドリンク単品,,,,,,,¥350,1,¥350
2021/02/03(水),3,L)エビ麺,4,ランチメニュー,6,L)麺,,,,,,,"¥1,100",1,"¥1,100"
2021/02/03(水),4,L)カレーラクサ麺,4,ランチメニュー,6,L)麺,,,,,,,¥900,1,¥900
2021/02/03(水),5,L)ナシレマッ,4,ランチメニュー,7,L)ご飯,,,,,,,¥900,2,"¥1,800"
2021/02/03(水),6,L)醤油チキンライス,4,ランチメニュー,7,L)ご飯,,,,,,,¥900,1,¥900
2021/02/03(水),7,ｾｯﾄ)紅茶,4,ランチメニュー,8,セットドリンク,,,,,,,¥150,1,¥150
2021/02/03(水),28,テータリック,5,ディナーメニュー,12,ドリンク,,,,,,,¥350,1,¥350
2021/02/03(水),40,ミロ,5,ディナーメニュー,12,ドリンク,,,,,,,¥350,1,¥350
2021/02/03(水),57,TO)カレーラクサ麺,15,テイクアウト,6,L)麺,,,,,,,¥900,1,¥900
2021/02/03(水),86,L)ﾃｨﾌｨﾝﾗﾝﾁ,4,ランチメニュー,7,L)ご飯,,,,,,,¥900,1,¥900
2021/02/03(水),94,ｾｯﾄ)テータリック,4,ランチメニュー,8,セットドリンク,,,,,,,¥150,3,¥450
2021/02/03(水),167,L) 擂茶,4,ランチメニュー,7,L)ご飯,,,,,,,"¥1,000",2,"¥2,000"
2021/02/03(水),169,TO) 擂茶,15,テイクアウト,21,TO)弁当,,,,,,,"¥1,000",2,"¥2,000"
2021/02/04(木),3,L)エビ麺,4,ランチメニュー,6,L)麺,,,,,,,"¥1,100",1,"¥1,100"
