Date,Product,Menu,Type,Price,Unit,Total
2021-02-02,カレーラクサ麺,ランチメニュー,麺,900,1,900
2021-02-02,ナシレマッ,ランチメニュー,ご飯,900,1,900
2021-02-02,醤油チキンライス,ランチメニュー,ご飯,900,1,900
2021-02-02,コーヒー,ディナーメニュー,ドリンク,350,1,350
2021-02-02,ナシレマッ,テイクアウト,ご飯,900,1,900
2021-02-02,醤油チキンライス,テイクアウト,ご飯,900,1,900
2021-02-02,ﾃｨﾌｨﾝﾗﾝﾁ,ランチメニュー,ご飯,900,4,3600
2021-02-02,テータリック,ランチメニュー,セットドリンク,150,2,300
2021-02-02,コーヒー,テイクアウト,ドリンク単品,350,1,350
2021-02-03,エビ麺,ランチメニュー,麺,1100,1,1100
2021-02-03,カレーラクサ麺,ランチメニュー,麺,900,1,900
2021-02-03,ナシレマッ,ランチメニュー,ご飯,900,2,1800
2021-02-03,醤油チキンライス,ランチメニュー,ご飯,900,1,900
2021-02-03,紅茶,ランチメニュー,セットドリンク,150,1,150
2021-02-03,テータリック,ディナーメニュー,ドリンク,350,1,350
2021-02-03,ミロ,ディナーメニュー,ドリンク,350,1,350
2021-02-03,カレーラクサ麺,テイクアウト,麺,900,1,900
2021-02-03,ﾃｨﾌｨﾝﾗﾝﾁ,ランチメニュー,ご飯,900,1,900
2021-02-03,テータリック,ランチメニュー,セットドリンク,150,3,450
2021-02-03,擂茶,ランチメニュー,ご飯,1000,2,2000
2021-02-03,擂茶,テイクアウト,弁当,1000,2,2000
2021-02-04,エビ麺,ランチメニュー,麺,1100,1,1100
2021-02-04,カレーラクサ麺,ランチメニュー,麺,900,3,2700
2021-02-04,ナシレマッ,ランチメニュー,ご飯,900,3,2700
2021-02-04,醤油チキンライス,ランチメニュー,ご飯,900,2,1800
2021-02-04,コーヒー,ランチメニュー,セットドリンク,150,2,300
2021-02-04,醤油チキンライス,テイクアウト,ご飯,900,1,900
2021-02-04,ﾃｨﾌｨﾝﾗﾝﾁ,ランチメニュー,ご飯,900,3,2700
2021-02-04,テータリック,ランチメニュー,セットドリンク,150,6,900
2021-02-04,ミロ,ランチメニュー,セットドリンク,150,2,300
2021-02-04,擂茶,ランチメニュー,ご飯,1000,4,4000
2021-02-05,カレーラクサ麺,ランチメニュー,麺,900,5,4500
2021-02-05,ナシレマッ,ランチメニュー,ご飯,900,5,4500
2021-02-05,醤油チキンライス,ランチメニュー,ご飯,900,3,2700
2021-02-05,エビ麺,ディナーメニュー,麺,1300,3,3900
2021-02-05,カレーラクサ麺,ディナーメニュー,麺,1100,5,5500
2021-02-05,ナシレマッ,ディナーメニュー,ご飯,1100,1,1100
2021-02-05,南乳唐揚げ豚,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,6,4200
2021-02-05,手羽先の塩卵唐揚げ,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,1,700
2021-02-05,茹で野菜自家製ソース,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,2,1400
2021-02-05,ココナッツライス,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,200,1,200
2021-02-05,仙草ゼリー,ディナーメニュー,デザート,350,2,700
2021-02-05,ﾊﾟﾝﾀﾞﾝｼﾌｫﾝｹｰｷ,ディナーメニュー,デザート,500,3,1500
2021-02-05,テータリック,ディナーメニュー,ドリンク,350,6,2100
2021-02-05,ハイボールｿｰﾀﾞ割り,ディナーメニュー,アルコール,450,1,450
2021-02-05,タイガービール瓶,ディナーメニュー,アルコール,600,2,1200
2021-02-05,マレーシア・マリング,ディナーメニュー,アルコール,550,6,3300
2021-02-05,エビ麺,テイクアウト,麺,1100,1,1100
2021-02-05,ナシレマッ,テイクアウト,ご飯,900,1,900
2021-02-05,醤油チキンライス,テイクアウト,ご飯,900,1,900
2021-02-05,ﾃｨﾌｨﾝﾗﾝﾁ,ランチメニュー,ご飯,900,3,2700
2021-02-05,テータリック,ランチメニュー,セットドリンク,150,5,750
2021-02-05,ミロ,ランチメニュー,セットドリンク,150,1,150
2021-02-05,ｶﾎﾞﾁｬﾉひき肉和え,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,1,700
2021-02-05,肉詰め厚揚げ,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,2,1400
2021-02-05,ホワイト単品,アフタヌーンティー,単品,390,3,1170
2021-02-05,全粒粉単品,アフタヌーンティー,単品,450,1,450
2021-02-05,シフォンケーキ単品,アフタヌーンティー,単品,500,1,500
2021-02-05,コーヒー,アフタヌーンティー,セットドリンク,150,1,150
2021-02-05,替玉,ディナーメニュー,麺,200,1,200
2021-02-05,ライムティー,ディナーメニュー,ドリンク,450,5,2250
2021-02-05,ダルゴナコーヒー,ディナーメニュー,ドリンク,500,2,1000
2021-02-05,擂茶,ランチメニュー,ご飯,1000,4,4000
2021-02-05,擂茶,ディナーメニュー,ご飯,1200,3,3600
2021-02-05,春巻きのｼｭｰｶﾞｰｽﾅｯｸ春捲糖酥餅,イベント,春節,688,1,688
2021-02-05,海苔春巻き香脆紫菜酥捲,イベント,春節,888,3,2664
2021-02-05,春節お菓子,イベント,春節,1388,4,5552
2021-02-06,エビ麺,ディナーメニュー,麺,1300,3,3900
2021-02-06,カレーラクサ麺,ディナーメニュー,麺,1100,4,4400
2021-02-06,ナシレマッ,ディナーメニュー,ご飯,1100,3,3300
2021-02-06,醤油チキンライス,ディナーメニュー,ご飯,1100,5,5500
2021-02-06,南乳唐揚げ豚,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,2,1400
2021-02-06,手羽先の塩卵唐揚げ,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,1,700
2021-02-06,茹で野菜自家製ソース,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,1,700
2021-02-06,ココナッツライス,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,200,1,200
2021-02-06,テータリック,ディナーメニュー,ドリンク,350,3,1050
2021-02-06,コーラ,ディナーメニュー,ドリンク,300,2,600
2021-02-06,オレンジジュース,ディナーメニュー,ドリンク,300,1,300
2021-02-06,ビール,ディナーメニュー,アルコール,450,1,450
2021-02-06,マレーシア・マリング,ディナーメニュー,アルコール,550,1,550
2021-02-06,ナシレマッ,テイクアウト,ご飯,900,1,900
2021-02-06,肉詰め厚揚げ,ディナーメニュー,ﾃｨﾌｨﾝﾃﾞｨﾅｰ,700,1,700
2021-02-06,ホワイト単品,アフタヌーンティー,単品,390,1,390
2021-02-06,全粒粉単品,アフタヌーンティー,単品,450,4,1800
2021-02-06,紅茶,アフタヌーンティー,セットドリンク,150,1,150
2021-02-06,コーヒー,アフタヌーンティー,セットドリンク,150,1,150
2021-02-06,テータリック,アフタヌーンティー,セットドリンク,150,2,300
2021-02-06,ドラゴンフルーツシャーベット,ディナーメニュー,デザート,350,1,350
2021-02-06,ライムティー,ディナーメニュー,ドリンク,450,3,1350
2021-02-06,擂茶,ディナーメニュー,ご飯,1200,9,10800
2021-02-06,春節お菓子,イベント,春節,1388,2,2776
2021-02-08,エビ麺,ランチメニュー,麺,1100,2,2200
2021-02-08,醤油チキンライス,ディナーメニュー,ご飯,1100,1,1100
2021-02-08,ﾊﾟﾝﾀﾞﾝｼﾌｫﾝｹｰｷ,ディナーメニュー,デザート,500,1,500
2021-02-08,コーヒー,ディナーメニュー,ドリンク,350,2,700
2021-02-08,醤油チキンライス,テイクアウト,ご飯,900,1,900
2021-02-08,ﾃｨﾌｨﾝﾗﾝﾁ,ランチメニュー,ご飯,900,2,1800
2021-02-08,テータリック,ランチメニュー,セットドリンク,150,3,450
2021-02-08,ミロ,ランチメニュー,セットドリンク,150,1,150
2021-02-08,ライムティー,ディナーメニュー,ドリンク,450,1,450
